timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,id
1628136000,182,179,749424,429359,2
1628139600,179,177,1043423,342019,2
1628143200,177,176,352039,309126,2
1628146800,178,177,471078,173269,2
1628150400,179,177,424058,150402,2
1628154000,180,177,467168,421880,2
1628157600,180,178,431865,183689,2
1628161200,180,177,503581,182432,2
1628164800,180,177,638042,452135,2
1628168400,182,179,216472,343058,2
1628172000,181,178,847802,373872,2
1628175600,181,178,532835,206082,2
1628179200,180,176,644212,640785,2
1628182800,181,178,569707,271377,2
1628186400,180,177,1164267,490635,2
1628190000,180,177,1284537,322048,2
1628193600,181,177,995496,695217,2
1628197200,180,175,605454,512519,2
1628200800,181,178,762826,268340,2
1628204400,181,178,936612,260048,2
1628208000,181,178,729287,406766,2
1628211600,181,178,1047989,343155,2
1628215200,181,178,1152588,259799,2
1628218800,180,177,977556,313608,2
1628222400,179,176,1102104,310610,2
1628226000,179,175,820662,224798,2
1628229600,177,175,703552,299458,2
1628233200,171,169,543078,115425,2
1628236800,171,166,536900,90648,2
1628240400,173,171,801623,106656,2
1628244000,176,174,580552,174995,2
1628247600,174,172,560892,167287,2
1628251200,175,172,666036,355469,2
1628254800,174,171,1168624,244689,2
1628258400,176,175,703944,232852,2
1628262000,178,174,1312215,389302,2
1628265600,178,174,1083746,291914,2
1628269200,178,176,532708,292783,2
1628272800,180,177,544573,296974,2
1628276400,182,177,981165,222471,2
1628280000,180,176,1273564,335938,2
1628283600,179,176,1374272,264251,2
1628287200,178,175,923266,206539,2
1628290800,179,176,702374,249745,2
1628294400,178,175,909750,226017,2
1628298000,177,173,1019755,554824,2
1628301600,177,174,1020182,450650,2
1628305200,176,174,675269,272224,2
1628308800,177,173,862359,386838,2
1628312400,176,173,744730,119856,2
1628316000,177,174,523582,190644,2
1628319600,176,172,673363,196240,2
1628323200,175,172,626290,143052,2
1628326800,175,172,717043,253275,2
1628330400,175,172,919261,187131,2
1628334000,175,172,1135153,156121,2
1628337600,175,171,863129,203622,2
1628341200,175,169,1030763,398417,2
1628344800,175,172,976796,357920,2
1628348400,174,170,1259656,226201,2
1628352000,171,167,1890419,234519,2
1628355600,171,168,896654,331569,2
1628359200,174,170,1079463,291323,2
1628362800,173,166,1049071,344870,2
