timestamp,Inquisitor's_armour_set,Arcane_spirit_shield,Arcane_sigil,Sanguinesti_staff_(uncharged),Dragon_hunter_lance,Dragon_claws,Craw's_bow_(u),3rd_age_kiteshield,3rd_age_full_helmet,3rd_age_robe,Gilded_scimitar,Gilded_armour_set_(lg),Anglerfish,Manta_ray,Shark,Magic_logs,Smoke_battlestaff,Anguish_ornament_kit,Tormented_ornament_kit,Occult_ornament_kit,Torture_ornament_kit
1614038400000,450620293,164627753,162369275,84304859,74613192,57862806,8337165,25818492,16456995,23753368,16200673,12188626,1094,1114,696,1023,1635476,8280969,5230174,4450555,5496686
1614124800000,460074063,165291544,162369275,82888784,74654653,57773079,8433358,25818492,17208580,22580667,16200673,12278172,1097,1141,711,1023,1633203,8229244,5220150,4382379,5483999
1614211200000,457374979,164429917,162369275,80318484,74587360,57537884,8727578,25402158,17208580,21456959,16398345,12356695,1092,1185,707,1023,1622314,8187870,5184898,4295426,5413846
1614297600000,444450072,157463709,162369275,79280998,74347058,57321435,8666249,25402158,18022986,21456959,16398345,12356695,1080,1209,695,1021,1609432,8126040,5197920,4182347,5413555
1614384000000,435693764,154096170,162033063,79049890,73973506,56864877,8853431,25951245,18022986,20770226,16646531,12300828,1095,1187,692,1015,1590347,8074964,5211993,4199344,5381105
1614470400000,447156479,153680680,162033063,81409435,73135662,56819754,8653533,25951245,18861771,20770226,16128278,12268416,1096,1193,680,1009,1588986,8106613,5191410,4246748,5308807
1614556800000,452358508,152486387,162033063,81284084,72543020,56607209,8380335,26850941,18861771,20080492,15984413,12152246,1088,1236,671,1007,1613219,8099498,5213619,4250677,5284432
1614643200000,448325193,151411868,162033063,79604356,72096501,56518835,8263027,26850941,19227711,20080492,15842189,12152246,1081,1197,664,1010,1594529,8009784,5237375,4208084,5274168
1614729600000,448120937,151764859,162033063,77468148,70969500,56080274,8104151,26464401,19227711,20548797,15633874,12219038,1082,1190,655,1013,1574328,7939466,5243190,4203198,5226324
1614816000000,448120937,151764859,162033063,77468148,70969500,56080274,8104151,26464401,19227711,20548797,15633874,12219038,1082,1190,655,1013,1574328,7939466,5243190,4203198,5226324
1614902400000,456012717,145693190,155260801,74579775,69093946,53646916,8019367,26498954,18616448,20268234,15473613,12278154,1076,1252,659,1014,1569157,7825688,5199719,4172909,5127281
1614988800000,459980500,140105895,155260801,74822661,68636247,53320956,8214745,26498954,17987365,20268234,15525507,12215366,1086,1189,683,1010,1557139,7830866,5137739,4115883,5092088
1615075200000,459449164,139332626,155260801,75770812,68393618,53482511,8259108,26814560,17987365,20438740,15525507,12215366,1087,1179,688,1001,1555265,8135835,5091169,4122176,5062311
1615161600000,462778359,141038988,155260801,77071739,68322442,54626629,8182736,26814560,17336738,20438740,15636893,12111634,1083,1173,703,996,1530511,8099765,4988138,4179328,5007374
1615248000000,461955676,139690357,155260801,78611958,68257104,55302830,8146850,27374280,17336738,20191859,15636893,12111634,1072,1119,729,996,1512777,8064448,4885931,4211352,4932255
1615334400000,462038426,144713458,148481707,80262988,69377377,56120969,8257551,27374280,17060271,20191859,15665436,11958413,1049,1113,728,1001,1484499,8031865,4888015,4240022,4955831
1615420800000,462682628,143844002,148481707,78655973,69264197,54421475,8295885,27912614,17060271,20171276,15665436,12037400,1078,1132,716,1005,1479815,7999580,4819600,4247170,4915115
1615507200000,464009596,143705327,148481707,76008899,68774862,53709734,8213601,27912614,17219268,20171276,15562213,12083421,1094,1160,710,1007,1503989,8016185,4758691,4295166,4910668
1615593600000,472704727,143346636,148481707,75458550,68507716,53625991,8267731,28713201,17219268,20044089,15565559,12083421,1114,1193,718,1004,1478931,8076540,4732749,4462227,5036862
1615680000000,477416428,143018969,148481707,74809834,68400621,53531065,8157554,28713201,17000118,20044089,15592331,12256752,1107,1185,710,999,1474788,8113466,4755862,4572146,5215424
1615766400000,474385726,142409146,142404925,74211788,68270464,53840598,8256080,29189677,17499203,19985668,15558717,12295272,1129,1178,725,999,1492774,8278864,4852570,4661110,5404956
1615852800000,468485155,141588992,142404925,73904046,68166965,53963027,8645225,29189677,17499203,19985668,15558717,12295272,1133,1167,735,1000,1489686,8406789,4795420,4655866,5402518
1615939200000,451923521,140451728,142404925,71951283,68164041,53947289,9058555,28761375,18298156,19856654,15640881,12223960,1164,1124,758,1004,1479851,8396134,4787194,4693513,5523886
1616025600000,431462567,140305832,142404925,70080384,68068787,53677779,9505379,28761375,18298156,19856654,15679036,12223960,1151,1088,760,1008,1464659,8437407,4905391,4677855,5418185
1616112000000,424664252,139828446,142404925,69055346,68018707,53439256,9844843,28070474,19173047,19582353,15679036,12266925,1145,1101,763,1008,1435136,8547079,4911344,4668417,5463911
1616198400000,412495980,138172575,142404925,70152175,67885454,53386173,9627243,28070474,19173047,19582353,15706593,12266925,1163,1116,782,1007,1401805,8734971,5135690,4660197,5480140
1616284800000,420337614,137137265,138790586,70569029,67753124,53276284,9182651,27750957,19824784,19342210,15995330,12487115,1171,1107,802,1007,1378307,8653437,5166949,4610830,5427834
1616371200000,416580443,136859428,138790586,70569789,67795323,53086368,9056441,27750957,19824784,19342210,16231470,12487115,1186,1106,831,1013,1367501,8557547,5090084,4480742,5381464
1616457600000,432662217,136306548,138790586,68541070,67555458,52872273,9053630,27692004,19508436,18942347,16278565,12528708,1197,1093,836,1028,1412539,8536725,5129488,4516809,5276376
1616544000000,445777841,136223576,138790586,67295327,67425977,52292808,9055685,27692004,19508436,18942347,16447245,12733209,1214,1134,850,1035,1417062,8488653,5080126,4490171,5272237
1616630400000,450655906,139944857,138790586,66898126,66979982,51796479,8943387,27460177,20194796,19726383,16571051,12733209,1195,1169,878,1040,1406221,8432230,4973642,4449741,5302000
1616716800000,449598817,139925859,136857423,66974399,66470892,51150083,8863452,27460177,20194796,19726383,16789303,12808729,1196,1145,892,1031,1392386,8343755,4938045,4414423,5311349
1616803200000,443106404,140254131,136857423,69000667,66059208,49940088,8945609,26956563,21083825,20710379,16918449,12740250,1223,1155,877,1027,1392884,8239374,4910168,4370571,5333641
1616889600000,448365413,142428645,136857423,71792921,66108835,49876990,8904179,26956563,21083825,20710379,17017235,12740250,1255,1157,873,1013,1383069,8201505,4981884,4436724,5406732
1616976000000,451989557,142920394,136857423,72028386,66243520,50659236,8752911,27012744,21873323,21734184,16982249,12717808,1298,1141,857,1010,1407591,8175156,5028525,4400343,5579401
1617062400000,468005213,140816391,139905928,70811984,66040415,51124950,8793358,27012744,21873323,21734184,16949484,12717808,1323,1138,848,1019,1415302,8121198,5075830,4347080,5642618
1617148800000,484516121,137373828,139905928,69018852,65285653,52347284,9169669,27085943,20811490,22751449,16898701,12773599,1295,1133,851,1030,1406676,8080806,5139546,4324775,5876603
1617235200000,482007974,136836430,139905928,68749488,64515544,52767809,9395249,27085943,20811490,23802999,16901516,12822295,1266,1147,863,1046,1429548,8163274,5171753,4328740,5813046
1617321600000,488857109,139904926,139905928,70738781,64190719,53796551,9234084,28259425,19779506,23802999,16910813,12983300,1263,1137,882,1043,1438194,8200891,5151692,4461509,5789029
1617408000000,500159118,142857450,139905928,71634503,64337355,53920054,9001167,28259425,19621755,24900612,16888274,13130367,1291,1174,909,1026,1476276,8200017,5185813,4484751,5886133
1617494400000,522029486,145127182,139868438,72106500,65055294,54312827,8947060,28124127,19621755,24900612,16979629,13130367,1297,1191,927,1016,1480081,8207812,5168567,4421821,6152965
1617580800000,512948123,143947033,139868438,70296645,66077756,53905912,9009279,28124127,20118211,26058059,17236517,13077213,1335,1202,925,1016,1461595,8205398,5025609,4369140,6225085
1617667200000,498866437,142893214,139868438,69067461,65786650,53591944,9067887,28133690,20118211,27307431,17262074,13052700,1320,1176,918,1016,1438214,8353438,4977575,4362279,6166398
1617753600000,478321809,140504891,139868438,69965578,65658669,53600659,9341994,28987566,20480203,28554471,17152961,13052700,1301,1146,909,1018,1418450,8354352,5047837,4525339,6128528
1617840000000,465372180,139607325,139868438,69858924,65616501,53660860,9415508,28987566,20480203,28554471,17059313,13030521,1277,1173,905,1018,1419340,8414908,5100224,4499247,6164933
1617926400000,478801115,139606549,140562140,69636836,65214618,54009057,9319898,30417768,21366671,27461699,17024045,13019429,1257,1168,915,1011,1404859,8477876,5113541,4498256,6398340
1618012800000,498628197,141153846,140562140,70784283,65190906,54495005,9257924,30417768,21366671,27461699,17046831,13019429,1240,1195,936,1006,1397559,8439652,5094232,4468505,6301064
1618099200000,503512535,141522376,140562140,70649136,66189586,54635510,9256608,31812563,22430416,26649916,17036010,13000354,1268,1185,951,998,1397461,8438993,5114556,4388333,6319067
1618185600000,490901811,141326367,140562140,70401632,66382914,55024983,9280667,31812563,22430416,26649916,16990672,13000354,1276,1173,959,999,1370638,8338286,5250079,4521695,6462586
1618272000000,486189961,140294588,140562140,69689401,65742076,55220816,9554063,33403192,23551937,26254517,17004070,13064624,1301,1155,974,1004,1349784,8337836,5188295,4545993,6436332
1618358400000,494354748,138311326,139610382,69401608,65378251,55624600,9583363,33403192,23551937,26254517,17211702,13064624,1324,1174,968,1002,1342311,8318075,5163723,4496752,6458246
1618444800000,502058853,140058246,139610382,69876609,65001965,55628236,9618670,35061155,24066639,25651797,17157330,13090738,1360,1210,951,997,1344540,8282848,5130930,4522181,6472366
1618531200000,493578427,141895946,139610382,69971111,64626838,55614568,9674075,35061155,24066639,25651797,17157330,13090738,1388,1215,946,993,1332386,8247692,5082401,4533503,6341668
